usage_date_utc,model,workspace,usage_type,token_type,cost_usd
2025-03-01,Claude 3.7 Sonnet,Default,message,input_no_cache,5.06
2025-03-01,Claude 3.7 Sonnet,Default,message,output,0.79
2025-03-02,Claude 3.5 Sonnet 2024-06-20,Default,message,input_no_cache,0.00
2025-03-02,Claude 3.5 Sonnet 2024-06-20,Default,message,input_cache_write,0.02
2025-03-02,Claude 3.5 Sonnet 2024-06-20,Default,message,input_cache_read,0.00
2025-03-02,Claude 3.5 Sonnet 2024-06-20,Default,message,output,0.02
2025-03-02,Claude 3.7 Sonnet,Default,message,input_no_cache,2.07
2025-03-02,Claude 3.7 Sonnet,Default,message,output,1.14
2025-03-03,Claude 3.5 Sonnet 2024-06-20,Default,message,input_no_cache,0.01
2025-03-03,Claude 3.5 Sonnet 2024-06-20,Default,message,input_cache_write,0.07
2025-03-03,Claude 3.5 Sonnet 2024-06-20,Default,message,output,0.04
2025-03-03,Claude 3.7 Sonnet,Default,message,input_no_cache,4.06
2025-03-03,Claude 3.7 Sonnet,Default,message,output,1.42
2025-03-04,Claude 3.7 Sonnet,Default,message,input_no_cache,2.79
2025-03-04,Claude 3.7 Sonnet,Default,message,output,1.46
2025-03-05,Claude 3.7 Sonnet,Default,message,input_no_cache,1.56
2025-03-05,Claude 3.7 Sonnet,Default,message,output,1.06
2025-03-06,Claude 3.7 Sonnet,Default,message,input_no_cache,0.11
2025-03-06,Claude 3.7 Sonnet,Default,message,output,0.32
2025-03-07,Claude 3.7 Sonnet,Default,message,input_no_cache,4.21
2025-03-07,Claude 3.7 Sonnet,Default,message,output,1.69
2025-03-08,Claude 3.7 Sonnet,Default,message,input_no_cache,3.49
2025-03-08,Claude 3.7 Sonnet,Default,message,output,1.53
